Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins,Price_actual,Price_pred
Multiple carriers,Delhi,Cochin,1,7005,9,6,12,50,21,0,8,10,7005,6858.3984
IndiGo,Banglore,New Delhi,0,8855,3,3,18,55,21,45,2,50,8855,8336.813
SpiceJet,Banglore,Delhi,0,3311,21,5,5,55,8,35,2,40,3311,3705.9268
IndiGo,Banglore,Delhi,0,3419,27,5,1,30,4,15,2,45,3419,4262.614
SpiceJet,Delhi,Cochin,1,4812,24,6,8,45,13,15,4,30,4812,4811.3096
IndiGo,Banglore,Delhi,0,3943,12,5,0,30,3,25,2,55,3943,4142.4717
Vistara,Kolkata,Banglore,1,9555,9,6,7,10,18,50,11,40,9555,9460.152
IndiGo,Banglore,Delhi,0,4077,1,6,1,30,4,15,2,45,4077,4082.179
Jet Airways,Mumbai,Hyderabad,0,4995,18,3,7,10,8,35,1,25,4995,5775.1606
IndiGo,Banglore,Delhi,0,3943,27,4,23,30,2,20,2,50,3943,4391.471
Multiple carriers,Delhi,Cochin,1,12524,24,6,8,45,19,0,10,15,12524,10562.813
IndiGo,Banglore,Delhi,0,3943,24,4,23,30,2,20,2,50,3943,4759.7593
Vistara,Chennai,Kolkata,0,11982,27,6,17,45,20,5,2,20,11982,11446.397
Air India,Delhi,Cochin,2,10651,1,6,19,45,19,15,23,30,10651,10552.934
Jet Airways,Kolkata,Banglore,1,10844,24,5,16,30,19,50,27,20,10844,11132.861
Jet Airways,Delhi,Cochin,2,13014,3,6,5,30,19,0,13,30,13014,12159.711
IndiGo,Delhi,Cochin,1,6171,9,3,4,55,16,10,11,15,6171,7865.413
Multiple carriers,Delhi,Cochin,1,7695,21,3,11,40,1,35,13,55,7695,7939.469
Air India,Kolkata,Banglore,1,8366,12,6,16,50,7,55,15,5,8366,8794.44
Air India,Delhi,Cochin,1,4487,9,4,6,5,9,25,27,20,4487,4925.0044
IndiGo,Banglore,Delhi,0,4823,12,5,16,55,19,55,3,0,4823,4857.422
IndiGo,Delhi,Cochin,1,14871,3,3,4,45,13,20,8,35,14871,12598.971
Air India,Delhi,Cochin,2,8708,21,3,13,20,19,15,29,55,8708,11004.86
Jet Airways,Kolkata,Banglore,1,10844,6,6,20,0,18,15,22,15,10844,11905.026
SpiceJet,Mumbai,Hyderabad,0,4129,6,3,5,45,7,5,1,20,4129,5336.699
Jet Airways,Banglore,Delhi,0,7229,6,5,8,20,11,20,3,0,7229,6162.2153
Jet Airways,Delhi,Cochin,2,10368,6,6,5,30,4,25,22,55,10368,12142.868
IndiGo,Delhi,Cochin,2,8146,9,3,6,40,21,20,14,40,8146,7757.8286
Jet Airways,Delhi,Cochin,1,14714,3,6,16,0,19,0,27,0,14714,12082.637
Air India,Delhi,Cochin,2,13465,6,6,18,45,19,15,24,30,13465,12312.781
SpiceJet,Chennai,Kolkata,0,3543,21,5,17,45,20,5,2,20,3543,3497.566
Jet Airways,Delhi,Cochin,1,10262,1,6,8,0,4,25,20,25,10262,10902.641
Jet Airways,Delhi,Cochin,1,10262,9,6,22,50,4,25,5,35,10262,12995.825
Air India,Kolkata,Banglore,1,8996,9,6,9,10,13,15,4,5,8996,8328.948
IndiGo,Kolkata,Banglore,0,4148,12,3,20,25,23,5,2,40,4148,4491.5757
Air Asia,Kolkata,Banglore,1,5192,6,5,7,35,23,30,15,55,5192,5429.138
Jet Airways,Delhi,Cochin,1,16079,27,5,10,0,19,0,9,0,16079,13925.466
Jet Airways,Banglore,Delhi,0,7229,24,4,17,45,20,45,3,0,7229,6439.684
Air India,Banglore,New Delhi,1,13439,1,3,11,5,9,15,22,10,13439,12418.009
Jet Airways,Banglore,Delhi,0,8016,9,6,18,55,22,0,3,5,8016,7623.6396
IndiGo,Chennai,Kolkata,0,7295,3,3,14,40,17,5,2,25,7295,6653.0244
SpiceJet,Banglore,Delhi,0,3919,3,4,9,30,12,20,2,50,3919,4067.3247
Multiple carriers,Delhi,Cochin,1,11667,27,3,10,0,18,50,8,50,11667,11175.425
Jet Airways,Banglore,New Delhi,1,11087,18,3,16,55,9,0,16,5,11087,11678.772
Jet Airways,Delhi,Cochin,2,15129,9,5,19,30,12,35,17,5,15129,13942.384
IndiGo,Kolkata,Banglore,0,4804,18,5,22,15,0,50,2,35,4804,4817.895
IndiGo,Delhi,Cochin,1,14871,3,3,17,30,1,35,8,5,14871,15005.11
Air India,Banglore,New Delhi,0,10741,9,3,17,0,19,45,2,45,10741,8756.289
Air India,Kolkata,Banglore,2,11432,6,6,16,50,5,35,12,45,11432,11655.107
IndiGo,Banglore,Delhi,0,4591,18,4,23,30,2,20,2,50,4591,4782.982
Multiple carriers,Delhi,Cochin,1,14848,3,6,13,0,19,15,6,15,14848,15098.535
Air India,Delhi,Cochin,2,12392,18,5,17,15,19,15,26,0,12392,12549.864
Jet Airways,Kolkata,Banglore,1,14388,12,5,21,10,9,20,12,10,14388,12008.192
SpiceJet,Chennai,Kolkata,0,3543,21,5,9,45,12,0,2,15,3543,3397.627
Vistara Premium economy,Banglore,New Delhi,0,11793,3,3,16,0,18,35,2,35,11793,9934.551
Multiple carriers,Delhi,Cochin,1,14323,15,5,11,30,19,15,7,45,14323,11504.023
Multiple carriers,Delhi,Cochin,1,13727,9,5,10,0,21,0,11,0,13727,10669.698
Multiple carriers,Delhi,Cochin,1,7354,6,6,10,35,19,15,8,40,7354,8630.773
Air India,Banglore,Delhi,0,5228,21,4,21,5,23,55,2,50,5228,5241.181
SpiceJet,Chennai,Kolkata,0,3543,1,6,9,45,12,0,2,15,3543,3912.7988
Jet Airways,Delhi,Cochin,1,10262,9,6,7,5,19,0,11,55,10262,13862.585
Jet Airways,Delhi,Cochin,1,5177,3,4,14,0,19,0,5,0,5177,7644.6216
IndiGo,Chennai,Kolkata,0,3858,27,6,11,35,14,0,2,25,3858,3764.3704
Jet Airways,Banglore,Delhi,0,7229,1,5,19,50,22,50,3,0,7229,6291.3247
SpiceJet,Delhi,Cochin,1,4957,24,4,17,55,22,50,4,55,4957,5376.523
Jet Airways,Kolkata,Banglore,1,14388,12,5,18,55,4,40,9,45,14388,10896.037
Multiple carriers,Delhi,Cochin,1,7408,9,6,19,0,1,30,6,30,7408,7372.358
Vistara,Banglore,Delhi,0,4668,3,5,7,0,9,40,2,40,4668,4517.121
Vistara,Banglore,New Delhi,0,7923,9,3,16,10,18,50,2,40,7923,9989.788
Jet Airways,Kolkata,Banglore,1,8529,12,6,20,0,12,0,16,0,8529,12248.042
Multiple carriers,Delhi,Cochin,1,10197,9,5,10,0,19,0,9,0,10197,10984.553
Jet Airways,Banglore,New Delhi,1,26890,1,3,8,55,15,15,6,20,26890,33597.918
IndiGo,Kolkata,Banglore,1,3717,18,5,19,20,23,45,4,25,3717,3963.0754
Jet Airways,Delhi,Cochin,1,14714,6,6,20,55,4,25,7,30,14714,12383.893
Jet Airways,Delhi,Cochin,2,14237,12,6,18,25,12,35,18,10,14237,13132.947
IndiGo,Banglore,Delhi,0,4823,9,6,7,10,10,5,2,55,4823,5055.8877
Jet Airways,Banglore,New Delhi,1,26890,1,3,7,0,12,25,5,25,26890,25683.121
Jet Airways,Kolkata,Banglore,1,14388,6,5,8,25,20,45,12,20,14388,12317.194
Multiple carriers,Delhi,Cochin,1,13542,21,3,11,30,1,35,14,5,13542,10801.575
Air India,Kolkata,Banglore,2,13873,6,5,10,0,1,20,15,20,13873,13155.753
Jet Airways,Delhi,Cochin,1,10262,6,6,18,15,4,25,10,10,10262,11296.183
Jet Airways,Kolkata,Banglore,1,10031,24,3,8,25,12,0,27,35,10031,12645.744
Air India,Delhi,Cochin,1,15284,6,3,8,0,19,15,11,15,15284,14607.906
Jet Airways,Kolkata,Banglore,1,13759,24,3,8,25,16,20,7,55,13759,12379.308
Air India,Kolkata,Banglore,1,11096,21,5,7,0,20,25,13,25,11096,10334.488
Jet Airways,Banglore,Delhi,0,7229,15,6,18,55,22,0,3,5,7229,7302.663
Multiple carriers,Delhi,Cochin,1,7408,15,6,18,0,1,30,7,30,7408,7388.621
Jet Airways,Delhi,Cochin,0,5443,18,4,11,0,14,15,3,15,5443,7934.208
Multiple carriers,Delhi,Cochin,1,7723,1,6,13,0,1,30,12,30,7723,11481.401
Jet Airways,Banglore,Delhi,0,7229,21,5,7,10,10,10,3,0,7229,6226.849
IndiGo,Kolkata,Banglore,0,4804,21,6,20,20,22,55,2,35,4804,4626.5615
Air India,Delhi,Cochin,2,15481,1,6,6,50,7,40,24,50,15481,14848.403
SpiceJet,Kolkata,Banglore,0,5515,1,3,22,20,0,40,2,20,5515,5405.699
Air Asia,Kolkata,Banglore,0,4409,24,4,10,20,12,55,2,35,4409,4664.6123
Vistara,Banglore,Delhi,0,4878,18,5,7,0,9,40,2,40,4878,4837.564
Jet Airways,Kolkata,Banglore,1,8586,15,5,20,0,4,40,8,40,8586,11709.811
Jet Airways,Banglore,Delhi,0,6144,21,4,7,10,10,10,3,0,6144,6276.9717
Jet Airways,Kolkata,Banglore,1,10844,9,5,16,30,4,40,12,10,10844,12442.696
Jet Airways,Banglore,New Delhi,1,9134,15,3,8,0,7,40,23,40,9134,9531.999
Air India,Banglore,New Delhi,1,6955,21,3,22,0,10,50,12,50,6955,6649.754
Jet Airways,Kolkata,Banglore,1,9663,1,5,14,5,12,0,21,55,9663,11690.032
Air India,Banglore,New Delhi,2,12725,12,3,17,25,23,25,30,0,12725,12121.955
Air India,Banglore,New Delhi,1,6046,15,3,8,15,21,25,13,10,6046,6349.6323
Jet Airways,Kolkata,Banglore,1,12692,6,6,20,25,14,25,18,0,12692,11467.538
IndiGo,Delhi,Cochin,1,7451,6,3,14,20,22,20,8,0,7451,9463.839
Jet Airways,Banglore,New Delhi,1,13817,12,3,22,55,7,40,8,45,13817,12754.427
Air India,Banglore,Delhi,0,5228,27,4,13,20,16,10,2,50,5228,5865.284
IndiGo,Delhi,Cochin,1,14871,6,3,8,25,21,0,12,35,14871,12905.383
Air India,Banglore,New Delhi,0,7591,3,3,6,10,8,55,2,45,7591,7655.517
SpiceJet,Mumbai,Hyderabad,0,1965,3,5,13,15,14,45,1,30,1965,2013.7933
Jet Airways,Kolkata,Banglore,1,8586,18,5,21,10,10,5,12,55,8586,12707.573
Air India,Delhi,Cochin,2,12961,6,6,13,20,19,15,29,55,12961,12503.743
GoAir,Banglore,Delhi,0,3419,18,6,20,55,23,40,2,45,3419,3812.3772
Jet Airways,Delhi,Cochin,2,13376,1,6,14,35,4,25,13,50,13376,13772.697
Jet Airways,Kolkata,Banglore,1,13067,12,5,17,0,14,25,21,25,13067,11388.212
Air India,Kolkata,Banglore,1,8576,9,5,16,50,18,30,25,40,8576,8421.462
GoAir,Banglore,Delhi,0,3898,3,5,11,40,14,30,2,50,3898,3938.453
SpiceJet,Chennai,Kolkata,0,3332,21,3,17,45,20,5,2,20,3332,3703.2627
Multiple carriers,Delhi,Cochin,1,9100,21,3,7,30,19,15,11,45,9100,8870.928
IndiGo,Delhi,Cochin,1,6416,1,6,7,30,21,0,13,30,6416,6653.9956
Jet Airways,Kolkata,Banglore,1,10031,24,3,19,45,16,20,20,35,10031,12686.23
IndiGo,Kolkata,Banglore,0,4462,18,3,5,30,8,20,2,50,4462,4592.392
IndiGo,Delhi,Cochin,1,5073,1,4,7,35,12,10,4,35,5073,4047.0022
IndiGo,Mumbai,Hyderabad,0,3175,12,6,16,55,18,25,1,30,3175,3227.3381
Multiple carriers,Delhi,Cochin,1,7485,21,5,12,50,21,0,8,10,7485,7162.0586
Vistara,Chennai,Kolkata,0,11982,12,5,17,45,20,5,2,20,11982,11921.525
IndiGo,Kolkata,Banglore,1,5069,9,5,8,10,13,0,4,50,5069,5458.974
SpiceJet,Kolkata,Banglore,0,3873,1,6,22,20,0,40,2,20,3873,3918.489
Air India,Delhi,Cochin,1,8907,27,5,9,45,23,0,13,15,8907,8898.664
Jet Airways,Delhi,Cochin,2,13292,1,6,21,25,12,35,15,10,13292,12113.844
Jet Airways,Delhi,Cochin,2,14441,12,6,5,30,12,35,7,5,14441,14044.268
Air Asia,Banglore,Delhi,0,4483,18,4,11,10,13,55,2,45,4483,4173.6333
IndiGo,Delhi,Cochin,1,7048,1,6,9,15,1,30,16,15,7048,6105.731
Air India,Delhi,Cochin,1,8879,18,5,3,50,19,15,15,25,8879,9231.348
Jet Airways,Delhi,Cochin,2,10368,3,6,5,30,19,0,13,30,10368,12159.711
Jet Airways,Mumbai,Hyderabad,0,4995,18,6,8,45,10,15,1,30,4995,7322.448
IndiGo,Banglore,Delhi,0,4423,9,4,10,10,13,0,2,50,4423,4295.863
Air Asia,Kolkata,Banglore,0,4409,27,5,10,20,12,55,2,35,4409,4596.747
Vistara,Banglore,New Delhi,0,5403,21,3,7,0,9,40,2,40,5403,5208.49
Jet Airways,Delhi,Cochin,2,13357,24,6,11,45,4,25,16,40,13357,12557.382
IndiGo,Chennai,Kolkata,0,3597,15,5,14,45,17,5,2,20,3597,3792.6714
Jet Airways,Kolkata,Banglore,1,10031,24,3,21,10,16,20,19,10,10031,11756.251
Jet Airways,Delhi,Cochin,2,16704,18,5,13,25,19,0,29,35,16704,15976.163
IndiGo,Banglore,New Delhi,1,8153,1,3,16,55,21,50,4,55,8153,13381.165
Air India,Delhi,Cochin,2,9400,3,3,7,5,9,25,26,20,9400,13472.575
IndiGo,Banglore,Delhi,0,3419,1,6,22,10,1,0,2,50,3419,3813.611
IndiGo,Chennai,Kolkata,0,5277,3,3,22,5,0,25,2,20,5277,6881.5605
Multiple carriers,Delhi,Cochin,1,9646,6,6,9,45,16,10,6,25,9646,9992.887
IndiGo,Mumbai,Hyderabad,0,12475,1,3,12,0,13,25,1,25,12475,12687.669
Vistara,Banglore,Delhi,0,4878,9,6,19,30,22,15,2,45,4878,5389.0327
IndiGo,Kolkata,Banglore,0,4804,24,5,9,35,12,20,2,45,4804,4699.1147
Air India,Kolkata,Banglore,2,15422,24,5,10,0,5,25,19,25,15422,14170.902
Air India,Delhi,Cochin,0,4939,15,3,18,5,21,10,3,5,4939,7037.937
Jet Airways,Kolkata,Banglore,1,13941,18,5,21,10,10,5,12,55,13941,12707.573
Jet Airways,Delhi,Cochin,1,12898,27,5,18,15,4,25,10,10,12898,12462.488
IndiGo,Delhi,Cochin,1,9027,3,3,6,40,16,10,9,30,9027,10246.483
Jet Airways,Kolkata,Banglore,1,12121,12,5,17,0,21,5,28,5,12121,11569.675
Multiple carriers,Delhi,Cochin,1,9871,9,5,8,0,19,15,11,15,9871,13596.8545
Air Asia,Kolkata,Banglore,0,4508,6,6,10,20,12,55,2,35,4508,4628.8877
Multiple carriers,Delhi,Cochin,1,16775,3,3,19,0,1,35,6,35,16775,15587.407
Air Asia,Kolkata,Banglore,0,5530,12,5,19,55,22,25,2,30,5530,4419.262
Multiple carriers,Delhi,Cochin,1,6305,27,3,4,0,15,30,11,30,6305,9471.289
Multiple carriers,Delhi,Cochin,2,8620,9,3,7,5,21,20,14,15,8620,8487.871
Jet Airways,Delhi,Cochin,2,16263,9,5,20,0,4,25,8,25,16263,15919.745
Jet Airways,Delhi,Cochin,1,10262,3,6,14,0,4,25,14,25,10262,12963.992
Air India,Kolkata,Banglore,2,10697,18,5,8,20,7,55,23,35,10697,11696.751
SpiceJet,Mumbai,Hyderabad,0,2175,1,6,13,15,14,45,1,30,2175,2401.547
SpiceJet,Kolkata,Banglore,0,3841,15,4,6,55,9,30,2,35,3841,3919.0713
SpiceJet,Banglore,New Delhi,0,5126,9,3,5,45,8,35,2,50,5126,6040.7266
Air India,Delhi,Cochin,1,7934,21,3,10,0,19,15,9,15,7934,8363.752
Air India,Mumbai,Hyderabad,0,6092,1,3,15,0,16,25,1,25,6092,13068.93
IndiGo,Banglore,Delhi,0,4990,21,4,16,55,19,55,3,0,4990,5003.6973
IndiGo,Delhi,Cochin,1,6442,24,6,5,5,12,10,7,5,6442,6220.0327
SpiceJet,Delhi,Cochin,1,4812,27,6,8,45,13,15,4,30,4812,4940.7085
Jet Airways,Mumbai,Hyderabad,0,4995,21,6,8,45,10,15,1,30,4995,7342.8013
Air India,Kolkata,Banglore,2,14960,15,5,16,45,12,30,19,45,14960,14187.307
IndiGo,Delhi,Cochin,1,6442,1,6,6,50,16,10,9,20,6442,6671.6733
IndiGo,Banglore,Delhi,0,4823,3,4,20,0,22,50,2,50,4823,4496.05
SpiceJet,Kolkata,Banglore,0,3841,9,6,6,55,9,30,2,35,3841,4074.7766
Jet Airways,Delhi,Cochin,1,14924,9,6,20,55,4,25,7,30,14924,12336.406
Jet Airways,Banglore,Delhi,0,6144,18,5,8,20,11,20,3,0,6144,6450.3984
IndiGo,Delhi,Cochin,0,5406,21,6,21,5,0,20,3,15,5406,6318.26
Air India,Banglore,Delhi,0,6961,27,6,17,0,19,45,2,45,6961,6781.4717
Jet Airways,Banglore,Delhi,0,5198,3,5,8,20,11,20,3,0,5198,6107.836
Multiple carriers,Delhi,Cochin,1,13838,3,3,9,45,22,20,12,35,13838,13203.223
Air Asia,Kolkata,Banglore,0,4384,9,3,19,35,22,5,2,30,4384,4376.9497
Jet Airways,Kolkata,Banglore,1,7757,6,5,21,10,10,5,12,55,7757,12464.236
IndiGo,Mumbai,Hyderabad,0,2227,18,5,20,5,21,40,1,35,2227,2362.0808
IndiGo,Kolkata,Banglore,0,6565,1,3,9,35,12,20,2,45,6565,5023.306
IndiGo,Banglore,Delhi,0,3943,6,5,13,0,15,50,2,50,3943,4375.769
Multiple carriers,Delhi,Cochin,1,8099,3,6,9,15,19,15,10,0,8099,9571.531
SpiceJet,Kolkata,Banglore,0,3873,6,4,22,20,0,40,2,20,3873,3529.5269
IndiGo,Mumbai,Hyderabad,0,2227,21,6,21,20,22,50,1,30,2227,2643.3828
Jet Airways,Delhi,Cochin,2,16389,6,3,5,25,19,45,38,20,16389,16766.47
Vistara,Kolkata,Banglore,1,8452,21,5,7,10,9,5,25,55,8452,9302.005
IndiGo,Delhi,Cochin,1,14871,6,3,9,10,1,35,16,25,14871,14484.939
Multiple carriers,Delhi,Cochin,1,11789,12,6,6,0,19,0,13,0,11789,11571.308
Jet Airways,Delhi,Cochin,2,13014,15,6,19,30,12,35,17,5,13014,11521.815
Jet Airways,Delhi,Cochin,2,21219,6,5,11,40,19,0,7,20,21219,18831.299
IndiGo,Kolkata,Banglore,0,4804,24,6,21,25,0,5,2,40,4804,4727.3486
Multiple carriers,Delhi,Cochin,2,6197,27,3,7,10,21,20,14,10,6197,5541.301
Jet Airways,Delhi,Cochin,1,12373,18,5,8,0,19,0,11,0,12373,14210.134
IndiGo,Banglore,Delhi,0,4591,3,5,23,30,2,20,2,50,4591,4506.869
SpiceJet,Chennai,Kolkata,0,6300,9,3,8,20,10,35,2,15,6300,6271.5854
Air India,Chennai,Kolkata,0,4405,18,3,11,40,13,55,2,15,4405,5164.4263
Jet Airways,Kolkata,Banglore,1,14151,24,5,9,35,22,5,12,30,14151,13033.302
Jet Airways,Delhi,Cochin,2,13376,9,6,6,45,4,25,21,40,13376,12527.956
Multiple carriers,Delhi,Cochin,1,13542,21,3,16,0,1,35,9,35,13542,12085.213
SpiceJet,Delhi,Cochin,1,4957,27,4,17,55,22,50,4,55,4957,5120.1636
Jet Airways,Kolkata,Banglore,1,9663,1,5,20,0,12,0,16,0,9663,11524.124
Air India,Banglore,New Delhi,1,5092,21,3,11,50,23,55,12,5,5092,6710.6035
Jet Airways,Kolkata,Banglore,1,10844,6,6,21,10,9,20,12,10,10844,12560.798
Air Asia,Delhi,Cochin,1,8627,6,3,16,45,7,10,14,25,8627,12123.155
Air India,Kolkata,Banglore,1,10203,1,5,10,0,23,15,13,15,10203,10765.627
IndiGo,Mumbai,Hyderabad,0,2754,15,6,12,0,13,30,1,30,2754,2866.7039
Vistara,Banglore,Delhi,0,4668,27,5,11,30,14,20,2,50,4668,4770.9585
Jet Airways,Delhi,Cochin,1,10262,6,6,2,15,19,0,16,45,10262,12716.711
Multiple carriers,Delhi,Cochin,1,7005,27,6,7,30,21,0,13,30,7005,8663.906
Jet Airways,Banglore,New Delhi,1,15025,6,3,14,5,11,25,21,20,15025,15409.947
Jet Airways,Delhi,Cochin,1,15103,6,3,13,0,18,50,5,50,15103,15833.083
Jet Airways,Delhi,Cochin,1,12898,21,5,21,50,4,25,6,35,12898,14219.751
Air India,Delhi,Cochin,2,13538,6,5,12,20,19,15,30,55,13538,12956.74
Jet Airways,Delhi,Cochin,2,13014,1,6,5,30,4,25,22,55,13014,11808.642
Jet Airways,Delhi,Cochin,1,12898,27,5,15,0,12,35,21,35,12898,12533.582
Jet Airways,Delhi,Cochin,2,13376,9,6,14,35,12,35,22,0,13376,13294.747
Jet Airways,Delhi,Cochin,1,12032,27,3,20,50,19,45,22,55,12032,9276.778
Air Asia,Delhi,Cochin,1,9330,1,6,7,55,13,25,5,30,9330,7964.132
Jet Airways,Kolkata,Banglore,1,9663,12,5,16,30,9,20,16,50,9663,11851.573
Air India,Delhi,Cochin,0,6094,21,5,18,5,21,10,3,5,6094,5993.952
IndiGo,Delhi,Cochin,1,10351,27,3,9,10,21,0,11,50,10351,8525.406
Air India,Banglore,New Delhi,2,11161,18,3,11,5,22,10,35,5,11161,11179.369
IndiGo,Mumbai,Hyderabad,0,4049,3,6,9,10,10,40,1,30,4049,4081.5137
Air India,Kolkata,Banglore,2,14214,9,5,14,30,23,15,8,45,14214,10618.294
Multiple carriers,Delhi,Cochin,1,17057,3,3,7,5,13,20,6,15,17057,15868.999
IndiGo,Delhi,Cochin,1,5883,12,6,11,25,1,30,14,5,5883,6136.348
Jet Airways,Delhi,Cochin,1,12898,21,5,11,30,19,0,7,30,12898,14704.997
Jet Airways,Delhi,Cochin,1,16079,21,5,2,15,19,0,16,45,16079,13906.236
Jet Airways,Delhi,Cochin,2,15129,21,5,19,30,4,25,8,55,15129,13874.826
Jet Airways,Delhi,Cochin,2,13292,9,6,5,30,4,25,22,55,13292,12036.594
Multiple carriers,Delhi,Cochin,1,9149,27,5,9,15,19,15,10,0,9149,8781.949
Multiple carriers,Delhi,Cochin,2,6128,27,3,13,5,21,20,8,15,6128,7338.541
Air India,Kolkata,Banglore,2,14634,12,5,10,0,5,25,19,25,14634,14096.022
Jet Airways,Kolkata,Banglore,1,14151,12,5,9,35,22,5,12,30,14151,12801.492
Jet Airways,Kolkata,Banglore,1,12692,12,6,20,25,10,55,14,30,12692,11802.612
IndiGo,Kolkata,Banglore,0,5224,6,5,11,30,14,5,2,35,5224,4794.276
Air India,Banglore,Delhi,0,5228,15,4,13,20,16,10,2,50,5228,5974.8423
Jet Airways,Banglore,New Delhi,1,13555,18,3,8,55,19,10,10,15,13555,11691.63
IndiGo,Delhi,Cochin,1,5054,21,5,7,35,12,10,4,35,5054,5301.2666
Jet Airways,Delhi,Cochin,2,10368,6,6,5,30,4,25,22,55,10368,12142.868
SpiceJet,Banglore,Delhi,0,4319,15,4,5,55,8,35,2,40,4319,4340.7886
Jet Airways,Banglore,Delhi,0,7229,9,6,18,55,22,0,3,5,7229,7623.6396
Jet Airways,Kolkata,Banglore,1,14571,6,6,18,55,10,5,15,10,14571,12002.123
SpiceJet,Banglore,Delhi,0,3919,9,6,21,10,0,5,2,55,3919,3833.5723
IndiGo,Banglore,Delhi,0,4823,15,4,18,25,21,20,2,55,4823,5144.574
IndiGo,Delhi,Cochin,1,6818,12,6,5,5,16,10,11,5,6818,7162.53
Air Asia,Delhi,Cochin,1,11410,3,6,20,45,6,35,9,50,11410,8198.094
Jet Airways,Banglore,New Delhi,1,9134,15,3,5,45,13,15,7,30,9134,10609.604
Jet Airways,Delhi,Cochin,1,12373,9,5,22,50,19,0,20,10,12373,14147.018
Multiple carriers,Delhi,Cochin,1,15077,6,3,10,45,19,15,8,30,15077,13964.229
SpiceJet,Mumbai,Hyderabad,0,1965,21,5,13,15,14,45,1,30,1965,1944.4849
Jet Airways,Delhi,Cochin,2,10368,15,6,9,40,19,0,9,20,10368,12052.792
IndiGo,Delhi,Cochin,0,6015,9,6,21,5,0,20,3,15,6015,6327.912
Jet Airways,Kolkata,Banglore,1,6287,24,5,10,20,17,35,7,15,6287,7960.1475
Multiple carriers,Delhi,Cochin,1,6076,27,3,7,5,16,10,9,5,6076,6460.732
Air India,Delhi,Cochin,2,8446,27,3,5,55,19,15,37,20,8446,8570.197
Air India,Delhi,Cochin,1,10671,15,5,20,30,8,15,11,45,10671,8022.248
Multiple carriers,Delhi,Cochin,1,14533,18,5,9,0,19,15,10,15,14533,13439.524
IndiGo,Delhi,Cochin,1,6104,9,6,17,30,1,30,8,0,6104,6904.98
